Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",1,"Unnamed Road, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2439,1791,3320
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",2,"9th Cross Bhel Layout, Adityanagar, Vidyaranyapura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2416,1762,3312
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",3,"15th A Cross Road, Yelahanka Satellite Town, Yelahanka, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2196,1586,3039
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",4,"SP Naidu Layout 4th Cross Street, SP Naidu Layout, Dooravani Nagar, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1704,1189,2441
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",5,"Medahalli Kadugodi Road, Bharathi Nagar, Krishnarajapura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2247,1594,3166
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",6,"0 Kodigehalli Main Road, Kodigehalli, Krishnarajapura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2720,1939,3813
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",7,"Justice Bheemiah Layout 1st Main Road, Roshan Nagar, Krishnarajapura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1918,1329,2766
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",8,"100 2nd Cross Road, A Narayanapura, Mottappa Compound, Udaya Nagar, Mahadevapura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1540,1054,2249
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",9,"Ranganatha Layout, Ranganatha Layout, Mahadevapura, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1901,1330,2715
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",10,"HAL Old Airport Road, HAL Airport Area, HAL, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1284,901,1829
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",11,"Vidyaranyapura Road, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2077,1499,2877
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",12,"5th Main Singapura Layout, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2433,1802,3283
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",13,"0 8th Cross Road, Yelahanka, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",1901,1305,2768
89,"0 Museum Road, Shanthala Nagar, Ashok Nagar, Bengaluru",14,"Manyata Tech Park Road, Manyata Residency, Manayata Tech Park, Thanisandra, Bengaluru","3/1/2019 - 3/31/2019, Every day, Daily Average",2195,1607,2997
